id,How many years of software engineering experience do you have? ,What is your current role ?,"On average, how many configuration options does your typical application have (application-specific) or use (3rd party library)? ",Do you have personal experience with creating new configuration options?,Where do you store your configuration options?,How do you access this configuration storage in the code?,How are the values of application-specific configuration options available in the code?,From where do you read your configuration options?,What is the most frequent profile of people adding new configuration options? ,Why?,Is the creation of configuration options planned beforehand?,How do you decide configuration default values?,How do you communicate newly created options and their possible values to the team ? ,Do you use any naming conventions to ensure a coherence between configuration option names?,How often do you face configuration errors? ,How difficult is it to debug an error which is due to a misconfigured option?,What artefacts do you use to fix a configuration error?,Where do you document configuration-related errors and their solutions? ,Are you always aware of the impact of changing one of the application-specific configuration options?,Which artefacts do you use to understand application-specific configuration parameters? ,Do the names or the default values of your application-specific configuration options change across time?,What do you do with dead configuration options that are no longer useful? ,How would you rate the quality of the documentation (text documents or online documentation) of application-specific configuration options in the systems you participated in their developments ?  ,How would you rate the quality of the comments of configuration options (used within configuration files to explain the meaning and possible values of options)? ,Please explain the factors that lead to that quality (your previous two answers) of comments and documentation ,Do you consider configuration options during code review? ,Which techniques do you use to assure the quality of configuration options?,What could reduce the most the complexity of the configuration of a software project?,Could you describe some important problems related to configuration (in terms of creation/management/maintenance or any other theme) that you faced during your current and/or previous experiences and how did you fix them ? ,What could you suggest as 3 good practices and 3 bad practices to a new development team in order to have a good configuration quality and to avoid configuration problems?
115,7,Developer,10<#<100,Yes,".properties file;.json file;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,Usually developers need some specific option for their application,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications",Client requirements.;Discussion between developers and architects.;Making tests until finding the optimal value for a parameter.,By mail;Via Wiki or a web platform;Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Documentation;Stack Trace,In the commit message;In a Wiki;In a Bug report (like Bugzilla);In the configuration file,"Yes, I know the impact of all the configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.,"No, they are almost stable","We do not remove them, we keep them in the configuration files.",4,3,Details of each possible values and some examples/usecases,"Yes, we review both functional and technical configuration options.",Default values are backed-up in a database to easily roll back.;Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration files.;Comment and document configuration options.;Splitting options into different categories,"Choosing between values for default value, as it should satisfy the most of developers","Good:
1. Think carefully about need of new option
2. Make sure default value isn't some very-very-very rare case
3. Keep the order
Bad:
1. Don't dump all options into one bunch
2. Don't avoid adding of new option as it may only need for few persons
3. Don't be a jerk. If someone request new option - add it, or suggest some workaround atleast."
116,17,Architect,"100<#<1,000",Yes,.properties file;.xml file;Application main arguments,Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Architects and developers,"The presence of options is often dictated by the integration of other components in application, one element which only developers/architects of that part of application are aware of","No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Textual documentation;Pull Request,No. We do not have any configuration options naming convention.,Sometimes,4,Log file;Documentation;Debug the code,In a Bug report (like Bugzilla),"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;I understand configuration options from the source code,"No, they never change. Once, they are created, they do not change anymore.","Remove them from the configuration files, and do not store them anywhere.",3,2,more 15 year,We do not review configuration options at all. We only review code.,Test different configuration values,Reduce the number of configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.,"Often, options types are not correct : we use a string or a number, where it is in fact an enum value, or some kind of deduced value.","Map configuration options to a class where options are type-safe
Do not use multiple configuration source
Do not override configuration options from multiple sources"
117,14,Architect,<10,Yes,.properties file;In a table within a database dedicated to configuration;Application main arguments;Dynamically built based on the environment through dedicated scripts,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access;Via call to a dedicated http API,From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Certain expert developers,They need to have a deep knowledge of the architecture,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications",Client requirements.;Architectural specifications.,Chat support (like Slack or Hangout);Via Wiki or a web platform;Textual documentation;Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,4,Error message;Documentation;Debug the code,In the commit message;In a Bug report (like Bugzilla);In the configuration file,"Yes, I know the impact of all the configuration options.",Documentation.;Configuration option comments.;I understand configuration options from the source code,"Yes, they change but not frequently","We do not remove them, we keep them in the configuration files.",4,3,"Documentation explains possible values and related impact on the application in a user-friendly form, while, usually, comments are written in a more technical and more obscure language","Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Allow only experienced people to modify configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.,See below,"default values should fit for most people, if there is an options to specific the background, make it default to white is better than green, because most people think that is more normal"
118,16,Developer,<10,No,.xml file;In a table within the database used for the application;Application main arguments,Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,There is no clear mapping between options and code,We read configuration options in different places in the code,Any developer,"If the task assigned to a developer requires more options, then the developer is authorized to make the change. If necessary, then with collaboration with other team members or whomever might help resolve which options are needed.","No planning, options are added ad hoc",Discussion between developers and architects.,Orally,No. We do not have any configuration options naming convention.,Sometimes,3,Log file,In the configuration file,"Yes, I know the impact of the majority of configuration options.",Ask a colleague;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",2,2,Documentation is currently of low priority.,"Yes, but we review only technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Allow only few people to modify configuration files.;Reduce the configuration option dependencies;Reduce the number of configuration options.,Discussing naming conventions. No settlement yet.,"Limit the number of them, give them meaningful names, and test them much and often."
119,21,Developer,"100<#<1,000",Yes,".xml file;Environment variables (e.g., Bash);Application main arguments",Via dedicated classes/functions that we developed for configuration access,There is no clear mapping between options and code,We read configuration options in different places in the code,Any developer,There is no particular limitation on creation of new options.,"No planning, options are added ad hoc",Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform,No. We do not have any configuration options naming convention.,Sometimes,4,Log file;Error message;Documentation;Debug the code;Stack Trace,In the commit message;In a Wiki;In a Bug report (like Bugzilla),"Yes, I know the impact of only configuration used in the code I worked on.",Documentation.;Ask a colleague;Configuration option comments.;I understand configuration options from the source code,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",2,3,"Some documentation exists online, but it is not well maintained. There are no comments inside ‰ÛÏconfguration files‰Û as such, these are machine-written; source code sometimes has comments.","Yes, we review both functional and technical configuration options.",Security implications of configuration options are tested;Test different configuration values,Allow only experienced people to modify configuration files.;Comment and document configuration options.;Reduce the number of configuration options.,"The existence of options implies an additional testing burden, and even when it is possible in principle to test a given option (it does not require any special operating system, for example), often it is not tested, or not all combinations of interacting options are tested.","Just keep the number of options to an absolute minimum, and document and test those you have."
120,10,Architect,10<#<100,Yes,.properties file,Via an IO library to read the configuration storage.,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,ops guys,because ops guys are responsible for deployments,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications",Architectural specifications.;Discussion between developers and architects.,By mail,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,3,Log file,In the commit message;In a Wiki,"Yes, I know the impact of all the configuration options.",Documentation.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,5,this is essential to the person who will set the value,"Yes, we review both functional and technical configuration options.",Test different configuration values,Comment and document configuration options.,configuration of several environments,follow 12 factor apps
121,1,Developer,<10,Yes,.properties file;.xml file;.json file,Via a 3rd party framework dedicated to configuration,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Certain expert developers,for security purposes,"Yes, they are defined in the architecture specifications",Architectural specifications.;Discussion between developers and architects.,Via Wiki or a web platform,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,3,Log file;Error message;Documentation;Stack Trace,In the commit message;In a Bug report (like Bugzilla),"Yes, I know the impact of all the configuration options.",Documentation.,"No, they are almost stable",Remove them and comment in the commit message,4,3,Within the configuration it depends on the level of experience of the developer. We have processes in place to document configuration options within the application. ,We do not review configuration options at all. We only review code.,We have a static analysis tool inspired by checkstyle to enforce configuration conventions.;Security implications of configuration options are tested,Reduce the number of configuration files.;Allow only experienced people to modify configuration files.;Reduce the configuration option dependencies,Generally I find developers dislike using configuration files and prefer using annotations when it makes sense.  Too many configuration files or too many attributes declared in a configuration file can make an application hard to debug or maintain.  The learning curve is longer for the less experienced developer. Moving from configuration files to annotations has helped us to alleviate these problem.,Good. 1. Move to annotations 2. Agree on what configurations you will need in the architectural/design phase. 3. Document configurations thoroughly. Bad. 1. Too many config files. 2. Too many settings with a config file. 3. Use configuration based design only when necessary.
122,6,Developer,<10,Yes,Application main arguments;.Yamel,Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access;via our own command line arg parser,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Any developer,"If any developer needs to add an option, they can do it","No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Chat support (like Slack or Hangout);Via Wiki or a web platform;Pull Request,No. We do not have any configuration options naming convention.,Never,4,Log file;Error message;Debug the code;Stack Trace,Nowhere,"Yes, I know the impact of all the configuration options.",Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",4,2,"Options themselves are not commented, only the getters and setters for a certain option type (like bool, int). However, options are explained in the wiki.","Yes, we review both functional and technical configuration options.",Test different configuration values,Comment and document configuration options.;Planning ahead the creation of options.,The most important problem is knowing what options our users want and how to tailor those options to that audience. Often times‰ÛÜ we can't communicate with all of our users and that creates a very big gap of understanding between developers and our userbase.  We have to guess what our users want and the issue with that is that we have an audience that is comprised of very different people who have different needs and who have very different goals. We have to account for users of our software as well as developers that build addons to it. This is even more complicated in the case of our project because we have to even consider people who aren't directly using or developing for our platform because Glowkit is a fork of an actively used project. We can't really solve this issue but we can lessen its effects by determining use cases and finding configuration options that could be created to help that use case.,"I think that every configuration option you have should be supported by a use case. Even if you don't have planning, if you can't‰ÛÜ think of a valid use case that the configuration option will help that can't be helped more by another solution, don't add it. Next, have good defaults. Know that a lot of your users will not change options and all of them will expect your software to work well with the defaults. Finally, make sure you document your options. This is extremely important. You are making these options for your users and your users are not going out of their way to find out what an option does.
As for bad practices, don't make a config option for everything. You may be tempted to solve every user issue with another option, but sometimes you have to decide on some major part of your code that you will have to have a concrete flow or design for. Second, do not change configuration options too much. If your config options change rapidly, you are just making it harder for the users of your config. Third, don't have confusing names internally or user-facing. This just confuses everyone involved."
123,15,Architect,10<#<100,Yes,.json file;.ini files;In a table within the database used for the application,Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,"As the team grew, many developers needed to have access to the options. Therefore, instead of centering all that work in one person, we decided to let everyone add new options/features, provided the lead architect reviewed the code when it was committed to our git","No, they are juste extracted from hardcoded constants",Client requirements.;Architectural specifications.;Discussion between developers and architects.,Orally;Textual documentation,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,4,Log file;Error message;Debug the code;Stack Trace,In the commit message;In text document,"Yes, I know the impact of all the configuration options.",Ask a colleague;Configuration option comments.;I understand configuration options from the source code,"No, they are almost stable","We do not remove them, we keep them in the configuration files.",2,2,"Probably because everyone is always in a rush, having to fulfill tough deadlines.","Yes, but we review only technical configuration options.",Default values are backed-up in a database to easily roll back.;Test different configuration values,Reduce the number of configuration files.;Allow only few people to modify configuration files.;Allow only experienced people to modify configuration files.;Reduce the number of configuration options.,"Lack of documentation would be the most important problem I have ever faced, and I usually face.",rdomander@rvc.ac.uk
124,12,Academic,<10,No,.properties file;.xml file,Via an IO library to read the configuration storage.,From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Certain expert developers,"They encounter the new needs first, so they make the configurations.","No, they are juste extracted from hardcoded constants",Ad hoc choices. It is up to the developer to decide.,Pull Request,No. We do not have any configuration options naming convention.,Often,3,Log file;Error message;Documentation,Nowhere,"Yes, I know the impact of the majority of configuration options.",Documentation.,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",2,2,"The configuration system is relatively new, so documentation work has not been a high priority.","Yes, but we review only functional configuration options",Test different configuration values,Reduce the number of configuration files.;Reduce the number of configuration options.,"Nesting options was not originally planned for, but was quickly encountered.  This led to a few additional iterations that could have been avoided.  Using standard format (JSON, YAML, S-Expressions) would have saved some up-front costs but the original system sort of grew organically.",2017/04/10 9:35:16 PM UTC+1
125,4,Manager,10<#<100,Yes,.properties file;.xml file,Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Certain expert developers,"Most of configuration options are important to the maintainability of the project, an architect or a experienced developer must do that work to assure the correct behavior of the process.","No planning, options are added ad hoc",Client requirements.;Architectural specifications.,Chat support (like Slack or Hangout);Textual documentation;Pull Request,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,3,Log file;Error message;Documentation;Debug the code;Stack Trace,In a Bug report (like Bugzilla),"Yes, I know the impact of all the configuration options.",Documentation.;Ask a colleague;Configuration name is clear enough to be understood.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",2,3,"we try to cut configuration sections in pieces that are as small as possible, and we try to make everything structured and with meaningful names. ideally, something like ""defaultMailService.smtp.username="" does not need any explanation. in cases where i cannot expect pre-existing knowledge, i might add inline comments, preferably with suggestions as to where to look for details and/or what a reasonable default is.","Yes, but we review only functional configuration options",We have tools to check correctness of the values;Using containers (like Docker) to limit the impact of configuration options.,Allow only few people to modify configuration files.,"One problem we had, all developers had access to the configuration files, and we have three servers: staging, development and production.
And we have all the routes in a configuration file, the problem was the configuration file was not being reviewed, so some developers were testing and changing the routes and pushing the changes without knowing.
To fix it, we limited the developers to access to that configuration options and we add the file to the code review process.","Good practices:
- Keep configuration options in one place
- Do not ignore them in code review process
- Know how to separate configuration options from other configuration files.
Bad practices:
Not doing the things i mentioned above."
126,12,Academic,<10,Yes,.properties file;.xml file;.json file,Via an IO library to read the configuration storage.,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Certain expert developers,They tend to encounter new config-related issues first.,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Pull Request,No. We do not have any configuration options naming convention.,Sometimes,3,Log file;Error message;Debug the code,In the commit message,"Yes, I know the impact of the majority of configuration options.",Ask a colleague;Configuration option comments.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",2,2,"The config system is new, so not much documentation work has been done.",We do not review configuration options at all. We only review code.,Test different configuration values,Reduce the number of configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.,"We should have anticipated nested configurations, but the config system sort of grew organically at first.  Later we had to step back and redesign it.  Using something standard earlier (JSON, YAML, S-Expressions) would have saved some later pain.",Textual documentation
127,16,Developer,10<#<100,Yes,".properties file;.xml file;Environment variables (e.g., Bash)",Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Certain expert developers,No specific reason,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Textual documentation,No. We do not have any configuration options naming convention.,Sometimes,2,Log file;Error message,In the configuration file;Nowhere,"Yes, I know the impact of all the configuration options.",Documentation.;Configuration option comments.;I understand configuration options from the source code,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",3,2,Clarity in describing the available alternatives and the effects of each option,We do not review configuration options at all. We only review code.,Test different configuration values,Comment and document configuration options.,No problems ocured,-
128,30,Developer,<10,Yes,platform specific (e.g. plist in iOS),Via an IO library to read the configuration storage.,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Any developer,I am sole developer on my projects,"Yes, they are defined in the client specifications",Client requirements.,does not apply,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Debug the code,In the commit message,"Yes, I know the impact of the majority of configuration options.",Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",4,4,Most configuration options are self-explanatory and can be deduced from the variable names in the source code.  Configurations are explained more fully in the help documentation for the program.,"Yes, we review both functional and technical configuration options.",Test different configuration values,Allow only few people to modify configuration files.;Comment and document configuration options.;Reduce the number of configuration options.,"The systems I work with (Android and iOS mobile apps) have configuration APIs that are fairly easy to work with.  The major problem with configurations is deciding which elements should be open to configuration and which should be options should be decided by the developer to be non-configurable.  I try to keep configuration options to a minimum.  Many users never configure the program, and so choosing the best possible defaults for configuration options is important.","Make sure the configuration API (whatever is used) is well understood.  Make sure default configuration is correct for initial installation of the program.  Make sure adding and deleting configuration options are handled gracefully with program updates.  Make sure configurations can be reconstructed if the configuration storage (database or file) is corrupted or deleted.  Understand what configuration options are important to the enduser and which will never be used.  Maybe the user will never want to change a font, or a text color.  Don't add too many configuration options.  The ones you add should be important and options that at least a significant number of your users will want to change.  If there is an option that the user will change very frequently, add it as a menu item and not as a configuration option.  Finally, just because something can be configured doesn't mean it should be.  Programmers are poor judges of this, because we like to tinker with everything.  Users just want to get their work done without trying to understand obscure configuration options."
129,3,Manager,"100<#<1,000",Yes,".xml file;Environment variables (e.g., Bash);hocon",Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Certain expert developers,"Since there are multiple levels of configuration, some experience is required to understand where this configuration option is to be added","Yes, they are defined in the architecture specifications",Architectural specifications.;Discussion between developers and architects.,Orally,"Yes. We do have a naming convention, and all the developers respect it.",Never,3,Log file;Error message;Debug the code;Stack Trace,Nowhere,"Yes, I know the impact of all the configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable",Just Comment them in the configuration file.,4,4,We maintain a strict review process in which we ensure configuration options have proper documentations.,"Yes, we review both functional and technical configuration options.",Test different configuration values,Planning ahead the creation of options.;Make every option responsibility of one specific person.,"sometimes new people don't know that a feature already exists and can be deployed using just a configuration. In this case, reading the code helps very much. ","1. Have hierarchical naming for configuration keys. This makes configuration keys easy to guess/infer and remember.
2. Have proper default values
3. Have your production configurations checked in somewhere
"
130,10,Developer,<10,No,.xml file;.json file;.ini files,Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Architects and developers,-,"No planning, options are added ad hoc",Client requirements.,Pull Request,No. We do not have any configuration options naming convention.,Never,5,Log file,In text document,"No, I'm not aware of the impact of changing options.",Documentation.,"No, they are almost stable",Just Comment them in the configuration file.,5,5,na,We do not review configuration options at all. We only review code.,We have tools to check correctness of the values;We have a static analysis tool inspired by checkstyle to enforce configuration conventions.,Use a separate software to manage configuration options.,na,na
131,6,Developer,10<#<100,Yes,".properties file;.json file;.ini files;In a table within a database dedicated to configuration;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Architects and developers,Flexibility of deployment and runtime environment ,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications;No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Client requirements.;Architectural specifications.;Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Orally;Chat support (like Slack or Hangout);By mail;Via Wiki or a web platform;Textual documentation;Pull Request,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,2,Log file;Error message;Documentation;Debug the code;Stack Trace,In the commit message;In a Bug report (like Bugzilla);Nowhere,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,3,It depends on the configuration and the developer ,"Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;Default values are backed-up in a database to easily roll back.;Security implications of configuration options are tested,Reduce the number of configuration files.;Reduce the number of configuration options.;Use a separate software to manage configuration options.,Plain text passwords. Fixed them via external lookup via revokable key. ,"Good: keep it simple, document complexity, be obvious when possible. Bad: break convention, legacy / deprecated config options, security issues. "
132,11,Architect,"100<#<1,000",Yes,.properties file;.xml file;.conf files,Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;akka configuration api,We read configuration options from a specific class/module,Architects and developers,"architects might add new configuration options against certain component, such as Akka Persistent Mongo Plugin, while developers might add configuration options by some rules, such as different connection timeouts values due to business need ","No planning, options are added ad hoc;added due to non-functional requirement we found in the middle of project as well, and then we plan to add bunch of them",Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Orally;Via Wiki or a web platform,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Stack Trace,Nowhere,"Yes, I know the impact of the majority of configuration options.",Ask a colleague;I understand configuration options from the source code,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",4,4,"Usually we use self-explained naming convention, but occasionly people not good at english might confuse others","Yes, but we review only functional configuration options",code review,"using less set of configuration profiles, while using docker; using meaningful names","Issue: different developers might have their own conf, such as user's home dir on their own conf files set, so while each dev might add new options inside their own conf files, then other developers might have runtime issues.
Solution: 
a. using docker technology to unify host names, services names, file paths and etc.
b. code review and emphasis the important of consistent configuration options to ensure non-docker env such as sit, uat, production has correct conf as well.","a. structure configuration, such as akka conf
b. proper naming on both conf files and source code constants
c. consistency among docker env and non-docker envs(usually only 2 sets)"
133,7,Developer,<10,Yes,.json file;In a table within the database used for the application;In a table within a database dedicated to configuration;Application main arguments,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,From tables and/or maps containing configuration options and values;There is no clear mapping between options and code,We read configuration options in different places in the code,Architects and developers,Loosely defined responsibilities for architects vs developers,"Yes, they are defined in the architecture specifications",Architectural specifications.,Textual documentation,"Yes. We do have a naming convention, but not all the developers respect it.",Often,4,Debug the code;Google the error;Stack Trace,In the commit message,"No, I'm not aware of the impact of changing options.",Documentation.;Ask a colleague,"Yes, they change but not frequently","We do not remove them, we keep them in the configuration files.",3,3,Each developer has their own WoW leading to poorer quality,We do not review configuration options at all. We only review code.,Not tested,Allow only few people to modify configuration files.;Allow only experienced people to modify configuration files.;Reduce the configuration option dependencies;Planning ahead the creation of options.;Depends on the project,JSON file format changes required the code to change to accommodate the new behavior; There was no escaping changing the code,Good: Object Oriented Approach; Same WoW or mutual change in WoW; Planning ahead & Bad: Next to none WoW; haphazard changes without documentation; Not adhering to standards
134,12,Developer,<10,Yes,".properties file;.json file;In a table within a database dedicated to configuration;Environment variables (e.g., Bash)",Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Architects and developers,Not always clear cut roles between architect/developer.  Usually a group discussion.,"No planning, options are added ad hoc",Discussion between developers and architects.,Chat support (like Slack or Hangout),No. We do not have any configuration options naming convention.,Sometimes,1,Stack Trace,In the configuration file;Nowhere,"Yes, I know the impact of all the configuration options.",Configuration option comments.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",1,3,"Separate documentation tends to not be kept up-to-date, so less formal comments tend to have more meaning and be more acurate.","Yes, we review both functional and technical configuration options.",Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration options.;Use a separate software to manage configuration options.,Transparency is an important problem.  A developer should not have to login to AWS to see how their dev/test/prod software is configured to run.  The barrier to entry can cause confusion and cause debugging to take longer than necessary.,Sorry? Don't understand this question
135,45,Architect + developer + tester,<10,Yes,".properties file;.xml file;.ini files;In a table within the database used for the application;Environment variables (e.g., Bash)",Via an IO library to read the configuration storage.,From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Architects and developers,"The astronomical related project is spare time, but daily work","Yes, they are defined in the architecture specifications;No, they are juste extracted from hardcoded constants",Architectural specifications.;Making tests until finding the optimal value for a parameter.;Ad hoc choices. It is up to the developer to decide.;feedback from myself,Via Wiki or a web platform;Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Documentation;Debug the code;Google the error;Stack Trace;Automatic tool to find misconfigured options;SQL queries ,In a Wiki;In text document;In the configuration file,"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"Yes, they change but not frequently",declare the entire SQL script deprecated,3,3,"Since I am developing for myself and open source, option documentation can rate from good to sparse","Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;careful structure of DDL associated to configuration options,"When running the same web app on Linux, OSX and Windows (10) you can run into a challenge, especially if working with C or C++ code.  Java, ECMA script, bash is less of an issue. ","1.) Integrate testing, test plan, test people, devops, architects, developers    into the planning process at time zero, especially if you are using continuous development.
2.) have clear configuration modules for unit (specific Objects or patterns and small clusters of Objects) testing,         
3.) Have clear configuration modules for integration testing with the appropriate mock framework.
4.) Have clear configuration modules for system testing, and integration by using tools like Jenkins.  Try not to mix the three, but continuously run all three flavors 24/7 each day and night.  Make sure you have the correct filters on your report to prevent ""info glut"".        "
136,25,Developer,10<#<100,Yes,In a table within the database used for the application;ivy.xml files for library dependencies,Via an IO library to read the configuration storage.,From tables and/or maps containing configuration options and values,We read configuration options in different places in the code,Certain expert developers,Because you can't fully understand what it is that you are configuring unless you are acquainted with the code base,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,I am the team,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Log file;Debug the code;Google the error;Stack Trace,Nowhere,"Yes, I know the impact of all the configuration options.",I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",1,4,I don't do documentation and whenever I was asked to maintain software developed by others found the documentation to be unreliable and opted to just ask around. Configuration options on the other hand are few and critical and usually sufficiently well documented,We do not review configuration options nor source code.,Test different configuration values,Reduce the number of configuration files.;Allow only few people to modify configuration files.;Allow only experienced people to modify configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.,"Maven is horrible, use simple Ant files and IVY for dependency management. Biggest problem is how to capture (in the source control repository system you are using) external dependencies (not libraries) and resources like databases (and the SQL DDL scripts used to create them), application server (and their configuration files) or other deployed systems that my system relies upon (e.g. via web services). I don't have a good and reproducible / systematic strategy for that.","Essentially, it boils down to reducing as much as possible the number of moving parts and the possible options that combine with each other and generate a large number of possible configurations that your code has to account for and which you have to test. Avoid overengineered frameworks. I haven't tried Docker so I am not  sure it is the answer to all configuration problems."
